"","id","createTime","CategoryType","isAd","shareEnabled","duetEnabled","stitchEnabled","itemCommentStatus","desc","textLanguage","creatorAIComment.eligibleVideo","creatorAIComment.hasAITopic","creatorAIComment.notEligibleReason","author.id","author.uniqueId","author.nickname","author.verified","author.privateAccount","music.id","music.title","music.authorName","music.original","music.duration","music.isCopyrighted","video.codecType","video.format","video.videoQuality","video.duration","video.width","video.height","video.size","video.bitrate","video.VQScore","video.volumeInfo.Loudness","video.volumeInfo.Peak","video.claInfo.enableAutoCaption","video.claInfo.hasOriginalAudio","video.claInfo.originalLanguageInfo.languageCode","stats.playCount","stats.diggCount","stats.commentCount","stats.shareCount","stats.collectCount"
1783,7553707063462038802,1758734482,120,False,True,True,True,0,"#Bolivia #SantaCruz ","un",False,False,212,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,7553707202083638032,"sonido original","NUEVAS IDEAS CON LIBERTAD",True,214,False,"h264","mp4","normal",214,576,1024,15372163,573352,59.38,-24.4,0.66069,True,True,"es",107400,7075,486,320,311
1784,7553710214650891527,1758735218,120,False,True,True,True,0,"#Bolivia #SantaCruz ","un",False,False,212,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,7553710521963383568,"sonido original","NUEVAS IDEAS CON LIBERTAD",True,128,False,"h264","mp4","normal",128,576,1024,9472586,591597,62.36,-27.9,0.38459,True,True,"es",67600,3719,193,126,180
1785,7553717120077401352,1758736823,114,False,True,True,True,0,"#Bolivia #SantaCruz ","un",False,False,212,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,7553717159537543937,"sonido original","NUEVAS IDEAS CON LIBERTAD",True,194,False,"h264","mp4","normal",194,576,1024,12265370,504968,61.24,-18.0,1.0,True,True,"es",1300000,32100,2517,9547,3117
1786,7553721271356263698,1758737791,120,False,True,True,True,0,"#Bolivia #SantaCruz ","un",False,False,212,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,7553721301156858625,"sonido original","NUEVAS IDEAS CON LIBERTAD",True,35,False,"h264","mp4","normal",36,576,1024,2184772,484979,58.31,-22.4,0.59566,True,True,"es",99800,4229,249,67,169
1787,7553888241087155474,1758776666,120,False,True,False,False,0,"","un",False,False,203,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,6992611821051987969,"Canto de Igualdad","CHILA JATUN",False,60,False,"","","",0,0,0,0,0,"","","",False,False,"",226900,8973,320,187,339
1788,7554039485139389707,1758811882,112,False,True,True,True,0,"#Bolivia #SantaCruz#Tarija#Oruro Riberalta ","en",False,False,212,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,7114143901363767298,"La Cumbia de los Trapos - Boca","Yerba Brava",False,60,True,"h264","mp4","normal",71,576,1024,9542900,1063764,62.59,-15.2,1.0,True,True,"es",92700,4021,163,194,196
1789,7554053460165922059,1758815134,111,False,True,True,True,0,"","un",False,False,212,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,7103169474936785670,"sonido original","FolcloreBoliviano",True,59,True,"h264","mp4","normal",92,576,1024,14452511,1254912,66.19,-13.6,1.0,True,True,"es",182400,5289,89,108,284
1790,7554053535424466187,1758815154,112,False,True,True,True,0,"#","un",False,False,212,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,7554053527635593995,"sonido original","NUEVAS IDEAS CON LIBERTAD",True,26,False,"h264","mp4","normal",26,576,1024,4255557,1301045,73.66,-23.2,0.40272,True,True,"es",115500,4569,246,134,200
1791,7554054879996628236,1758815465,111,False,True,True,True,0,"","un",False,False,212,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,7120854418332912389,"sonido original","DANZA BOLIVIANA",True,44,True,"h264","mp4","normal",31,576,1024,3603289,913815,62.01,-14.1,1.0,True,True,"es",199000,4987,219,60,232
1792,7554068928524242187,1758818736,120,False,True,True,True,0,"#Bolivia #SantaCruz#Tarija#Oruro ","un",False,False,204,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,7545994418165959480,"sonido original","Primero la Gente👆Rodrigo Paz",True,14,False,"h264","mp4","normal",42,576,1024,7561314,1428887,57.87,-12.2,1.0,True,True,"es",45500,2146,88,49,78
1793,7554070720041569547,1758819154,120,False,True,True,True,0,"#Bolivia #SantaCruz#Tarija#Oruro ","un",False,False,204,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,6893173008458844162,"Viva Santa Cruz","Vanessa Añez",False,60,False,"h264","mp4","normal",49,576,1024,8678989,1400768,57.78,-12.2,1.0,True,True,"es",82600,3594,90,186,155
1794,7554074162751409464,1758819956,120,False,True,True,True,0,"Respuesta a @titanium_sword ","un",False,False,204,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,7554074156384537356,"sonido original","NUEVAS IDEAS CON LIBERTAD",True,14,False,"h264","mp4","normal",14,576,1024,1897907,1039949,57.0,-19.2,0.57544,True,True,"es",73600,2698,139,62,105
1795,7554091947116236044,1758824095,112,False,True,True,True,0,"","un",False,False,204,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,7029797018235079430,"sonido original","Lisandro_Knari",True,60,False,"h264","mp4","normal",39,576,1024,7325617,1468795,60.85,-10.8,1.0,True,True,"es",91700,5286,150,111,203
1796,7554146170902269192,1758836722,105,False,True,True,True,0,"#Bolivia #SantaCruz ","un",False,False,204,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,7085800559545993217,"Niña Camba","Sonia Barrientos",False,60,False,"h264","mp4","normal",196,576,1024,83947173,3418270,60.31,-15.3,1.0,True,True,"es",2100000,71500,2010,2642,3606
1797,7554159068013694215,1758839724,120,False,True,True,True,0,"#SantaCruz ","un",False,False,204,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,7554159094622440208,"sonido original","NUEVAS IDEAS CON LIBERTAD",True,26,False,"h264","mp4","normal",26,576,1020,900142,276403,65.37,-16.7,1.0,True,True,"es",122700,3662,97,415,315
1798,7554248275264556300,1758860494,120,False,True,True,True,0,"#Bolivia #SantaCruz#Tarija#Oruro ","un",False,False,204,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,6917284778643294209,"Now We Are Free","Lisa Gerrard & Gavin Greenaway & The Lyndhurst Orchestra",False,60,True,"h264","mp4","normal",81,576,1024,5926454,583642,64.3,-16.7,1.0,True,True,"es",62200,4339,287,167,185
1799,7554379755437493512,1758891104,120,False,True,True,True,0,"Respuesta a @jorgepacoflores #Bolivia #SantaCruz #chuquisaca# ","un",False,False,204,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,7114079035080526598,"sonido original","RomeoCela",True,60,False,"h264","mp4","normal",339,576,1024,14968916,352673,62.23,-20.1,1.0,True,True,"es",28600,1588,110,62,75
1800,7554410801948331282,1758898332,114,False,True,True,True,0,"#Bolivia #SantaCruz #chuquisaca# ","un",False,False,204,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,6997838557607888898,"Creepy and simple horror background music(1070744)","howlingindicator",False,106,False,"h264","mp4","normal",100,576,1024,12165356,969312,57.49,-12.6,1.0,True,True,"es",173700,11100,481,786,626
1801,7554421418415459640,1758900807,120,False,True,True,True,0,"#Bolivia #SantaCruz#Tarija#Oruro ","un",False,False,204,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,7554421545423375116,"sonido original","NUEVAS IDEAS CON LIBERTAD",True,286,False,"h264","mp4","normal",286,576,1024,48927122,1366994,64.69,-6.1,1.0,True,True,"es",663500,26400,731,7176,2169
1802,7554430644953287954,1758902952,120,False,True,True,True,0,"#Bolivia #SantaCruz ","un",False,False,204,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,7554430666327542544,"sonido original","NUEVAS IDEAS CON LIBERTAD",True,30,False,"h264","mp4","normal",30,480,852,3854087,1002135,51.52,-7.7,1.0,True,True,"es",20500,823,14,18,28
1803,7554469734041816331,1758912056,111,False,True,True,True,0,"","un",False,False,204,7365157332969718789,"fuerzapatriotica","NUEVAS IDEAS CON LIBERTAD",False,False,6935902951995115522,"Viva Santa Cruz: Taquirari","Gringo Egüez",False,60,False,"h264","mp4","normal",74,576,1024,16376069,1761483,66.65,-13.4,1.0,True,True,"es",407100,8845,192,271,455
